user_id,user_name,state
U346561,Chloe Wood,active
U872282,Daniel Bennett,active
U938803,Sophia Cook,active
U153712,Sophia Morgan,active
U288161,Aiden Allen,deleted
U979173,William Allen,active
U806445,Aiden Richardson,active
U819537,Anthony Watson,active
U472423,Jayden Murphy,active
U292615,Noah Nelson,active
U401211,Isabella Gray,active
U652606,Sophia Williams,active
U176749,Noah Hern,active
U189100,Sophia Watson,active
U966556,Daniel Phillips,active
U556850,Aiden Morris,active
U139455,William Gray,active
U511908,Mia Hill,active
U507687,Sophia Cox,active
U297015,Abigail Hughes,active
U977454,William Roberts,active
U387250,Olivia Price,active
U531649,Noah Thomas,deleted
U812256,Chloe Turner,active
U700516,Madison Moore,active
U180698,Sophia Thompson,active
U700672,Emily Miller,active
U144991,Chloe Rogers,deleted
U215381,Emma King,active
U443006,Ava Watson,active
U213037,Alexander Reed,active
U192467,Alexander Stewart,active
U824115,Michael Cox,active
U266829,Michael Parker,active
U476616,Emma Stewart,active
U617555,Alexander Bell,active
U917218,Alexander Cruz,active
